Observation id	20120211074539_PAB21							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2012/Bureau/dbd68e70-d952-4175-b047-f4b5b53d1ac1/20120211074539_PAB21.mp4							
								
Observation date	2021-02-04 16:22:27							
								
Description	 595a0c23-3907-47cb-8a7f-0d9a7873c3af 							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
