Observation id	2a3d5742-f519-43b9-a87b-4e8baa4219b3							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/2a3d5742-f519-43b9-a87b-4e8baa4219b3.dv							
								
Observation date	2021-02-24 11:36:25							
								
Description	2a3d5742-f519-43b9-a87b-4e8baa4219b3							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1950.875	G:/Oxford/Videos/Bossou videos/2010/0e9ed526-48b5-49c3-9a07-5b1e24e59f3a/2a3d5742-f519-43b9-a87b-4e8baa4219b3.dv	4828.720	29.97		Start		Impossible to code, only half-play	POINT
