Observation id	326d79a1-46b0-4da0-8744-ef3e7cf2c995							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2011/5efc127e-a10b-414c-b333-53339d5ecc7d/326d79a1-46b0-4da0-8744-ef3e7cf2c995.dv							
								
Observation date	2021-02-23 11:46:43							
								
Description	326d79a1-46b0-4da0-8744-ef3e7cf2c995							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
