Observation id	3e1129da-03df-4b23-b991-494876084f56							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/58b54a12-2dff-49b6-8431-75f3f93b8dbf/3e1129da-03df-4b23-b991-494876084f56.dv							
								
Observation date	2021-05-21 16:26:58							
								
Description	3e1129da-03df-4b23-b991-494876084f56							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
