Observation id	68f0091b-e972-4a19-a20f-8b20c79eecfc							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/29c4551b-4249-4419-8b36-fa7da820e03b/68f0091b-e972-4a19-a20f-8b20c79eecfc.dv							
								
Observation date	2021-03-24 14:42:13							
								
Description	68f0091b-e972-4a19-a20f-8b20c79eecfc							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
