Observation id	93076580-495f-4e79-9708-7ec8b48f461b							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/583f54b6-228a-46e9-803b-6e4ffb69f28d/93076580-495f-4e79-9708-7ec8b48f461b.dv							
								
Observation date	2021-06-10 13:38:29							
								
Description	93076580-495f-4e79-9708-7ec8b48f461b							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
