Observation id	caadaeb0-e767-48fc-b880-9a5bc7c62b19							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/48dbe18e-adb6-4cfa-9108-49123cb203c8/caadaeb0-e767-48fc-b880-9a5bc7c62b19.dv							
								
Observation date	2021-05-21 11:37:09							
								
Description	caadaeb0-e767-48fc-b880-9a5bc7c62b19							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
