Observation id	e2254775-235f-4339-91e0-b142d5c53b3e							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/48dbe18e-adb6-4cfa-9108-49123cb203c8/e2254775-235f-4339-91e0-b142d5c53b3e.dv							
								
Observation date	2021-05-21 11:37:48							
								
Description	e2254775-235f-4339-91e0-b142d5c53b3e							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
