Observation id	fbe25264-a3bb-4602-92ba-456b45d13132							
								
Media file(s)								
								
Player #1	G:/Oxford/Videos/Bossou videos/2010/29c4551b-4249-4419-8b36-fa7da820e03b/fbe25264-a3bb-4602-92ba-456b45d13132.dv							
								
Observation date	2021-05-21 11:33:01							
								
Description	fbe25264-a3bb-4602-92ba-456b45d13132							
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
Observer	Alex							
Group	Bossou							
Date/Time	2000-01-01T00:00:00							
Contains play	yes							
Coded	no							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
